iter	Passed	Remaining
0	72	72443
1	86	43307
2	105	35088
3	120	29947
4	137	27277
5	155	25805
6	171	24292
7	181	22553
8	194	21418
9	208	20639
10	220	19792
11	238	19614
12	250	18998
13	261	18421
14	273	17980
15	287	17654
16	298	17283
17	311	16968
18	327	16896
19	338	16604
20	354	16508
21	367	16337
22	379	16111
23	389	15820
24	402	15682
25	414	15541
26	425	15334
27	438	15205
28	446	14964
29	460	14873
30	471	14745
31	487	14742
32	500	14655
33	511	14518
34	524	14474
35	537	14398
36	550	14332
37	562	14249
38	576	14196
39	581	13946
40	594	13906
41	606	13838
42	620	13805
43	635	13799
44	656	13932
45	673	13967
46	685	13902
47	692	13741
48	706	13706
49	712	13545
50	726	13527
51	741	13523
52	755	13503
53	771	13515
54	783	13468
55	797	13449
56	806	13345
57	820	13322
58	833	13300
59	845	13245
60	857	13204
61	868	13132
62	880	13089
63	889	13014
64	902	12986
65	915	12952
66	926	12907
67	938	12864
68	952	12846
69	968	12866
70	982	12859
71	994	12812
72	1005	12766
73	1019	12755
74	1033	12745
75	1044	12694
76	1057	12670
77	1070	12648
78	1080	12601
79	1095	12593
80	1109	12593
81	1123	12576
82	1139	12584
83	1151	12551
84	1164	12535
85	1175	12493
86	1186	12446
87	1199	12435
88	1210	12389
89	1223	12373
90	1235	12345
91	1245	12295
92	1261	12305
93	1273	12275
94	1285	12243
95	1297	12218
96	1311	12211
97	1331	12253
98	1343	12223
99	1355	12201
100	1368	12185
101	1380	12150
102	1391	12114
103	1402	12086
104	1414	12057
105	1425	12025
106	1436	11988
107	1448	11962
108	1460	11939
109	1472	11913
110	1484	11891
111	1495	11859
112	1508	11843
113	1520	11814
114	1530	11781
115	1543	11764
116	1556	11747
117	1568	11721
118	1577	11682
119	1592	11675
120	1603	11645
121	1617	11638
122	1628	11614
123	1640	11589
124	1651	11563
125	1676	11629
126	1687	11598
127	1697	11563
128	1710	11550
129	1720	11515
130	1732	11489
131	1755	11543
132	1769	11534
133	1788	11556
134	1799	11527
135	1811	11508
136	1823	11486
137	1834	11459
138	1846	11435
139	1858	11414
140	1868	11382
141	1880	11360
142	1894	11354
143	1906	11330
144	1918	11311
145	1928	11282
146	1941	11268
147	1954	11252
148	1967	11236
149	1978	11213
150	1992	11204
151	2004	11184
152	2018	11175
153	2030	11153
154	2043	11138
155	2054	11113
156	2066	11098
157	2079	11081
158	2091	11062
159	2104	11048
160	2115	11026
161	2128	11011
162	2142	11002
163	2155	10987
164	2170	10981
165	2183	10967
166	2194	10946
167	2217	10981
168	2231	10972
169	2245	10962
170	2257	10943
171	2271	10936
172	2284	10922
173	2297	10907
174	2311	10897
175	2324	10883
176	2337	10870
177	2350	10852
178	2362	10834
179	2372	10807
180	2384	10790
181	2393	10758
182	2404	10734
183	2416	10714
184	2427	10694
185	2438	10670
186	2450	10653
187	2471	10674
188	2497	10715
189	2507	10690
190	2519	10671
191	2530	10650
192	2541	10626
193	2552	10606
194	2564	10587
195	2579	10582
196	2592	10566
197	2603	10544
198	2615	10529
199	2629	10517
200	2640	10497
201	2652	10478
202	2679	10518
203	2692	10507
204	2704	10489
205	2716	10469
206	2727	10447
207	2738	10428
208	2749	10405
209	2761	10389
210	2773	10371
211	2785	10351
212	2795	10330
213	2810	10323
214	2823	10307
215	2839	10305
216	2852	10292
217	2863	10272
218	2877	10260
219	2889	10244
220	2901	10227
221	2914	10212
222	2924	10191
223	2935	10168
224	2947	10152
225	2958	10133
226	2971	10119
227	2983	10102
228	2997	10093
229	3010	10079
230	3036	10109
231	3047	10089
232	3059	10069
233	3070	10049
234	3087	10049
235	3099	10034
236	3114	10028
237	3127	10012
238	3141	10003
239	3152	9983
240	3178	10011
241	3199	10020
242	3210	10000
243	3220	9979
244	3237	9978
245	3253	9971
246	3266	9958
247	3281	9949
248	3300	9953
249	3311	9933
250	3322	9915
251	3333	9895
252	3344	9875
253	3355	9854
254	3367	9837
255	3378	9819
256	3390	9800
257	3403	9787
258	3413	9766
259	3426	9751
260	3437	9732
261	3448	9713
262	3461	9700
263	3472	9681
264	3483	9661
265	3494	9643
266	3508	9631
267	3519	9611
268	3537	9613
269	3552	9604
270	3566	9593
271	3578	9578
272	3590	9560
273	3602	9544
274	3613	9525
275	3632	9529
276	3651	9530
277	3674	9541
278	3704	9574
279	3721	9570
280	3733	9552
281	3746	9537
282	3759	9525
283	3786	9547
284	3797	9527
285	3811	9515
286	3833	9524
287	3846	9509
288	3888	9567
289	3917	9589
290	3933	9582
291	3945	9566
292	3958	9552
293	3971	9536
294	3983	9520
295	3997	9507
296	4010	9493
297	4037	9511
298	4059	9516
299	4071	9501
300	4088	9493
301	4101	9479
302	4113	9462
303	4139	9476
304	4149	9455
305	4161	9438
306	4174	9422
307	4185	9404
308	4197	9386
309	4208	9366
310	4219	9347
311	4244	9359
312	4256	9342
313	4267	9323
314	4279	9306
315	4290	9286
316	4302	9270
317	4321	9268
318	4336	9257
319	4348	9240
320	4362	9227
321	4377	9216
322	4388	9197
323	4402	9184
324	4412	9164
325	4426	9150
326	4441	9140
327	4458	9135
328	4480	9138
329	4492	9121
330	4503	9102
331	4515	9085
332	4526	9065
333	4536	9045
334	4547	9027
335	4558	9007
336	4567	8986
337	4579	8969
338	4591	8952
339	4602	8934
340	4613	8915
341	4635	8918
342	4647	8902
343	4657	8882
344	4669	8865
345	4681	8848
346	4696	8838
347	4712	8829
348	4728	8820
349	4753	8827
350	4766	8812
351	4777	8794
352	4790	8779
353	4799	8758
354	4811	8741
355	4843	8760
356	4871	8773
357	4893	8775
358	4909	8765
359	4925	8756
360	4936	8737
361	4952	8727
362	4981	8742
363	4996	8730
364	5012	8719
365	5023	8701
366	5035	8684
367	5049	8671
368	5061	8654
369	5072	8636
370	5085	8621
371	5096	8602
372	5110	8589
373	5120	8571
374	5132	8554
375	5145	8539
376	5161	8529
377	5175	8515
378	5190	8505
379	5211	8502
380	5224	8488
381	5246	8486
382	5259	8472
383	5276	8463
384	5291	8451
385	5306	8440
386	5326	8437
387	5338	8420
388	5351	8405
389	5373	8404
390	5387	8391
391	5407	8386
392	5419	8370
393	5430	8352
394	5441	8334
395	5454	8319
396	5466	8303
397	5477	8285
398	5488	8266
399	5501	8252
400	5514	8237
401	5524	8218
402	5536	8201
403	5549	8186
404	5561	8170
405	5575	8157
406	5588	8142
407	5600	8126
408	5618	8118
409	5630	8102
410	5643	8086
411	5656	8072
412	5666	8054
413	5680	8040
414	5693	8025
415	5707	8011
416	5719	7996
417	5733	7982
418	5746	7968
419	5758	7952
420	5770	7936
421	5782	7919
422	5797	7907
423	5810	7893
424	5823	7878
425	5838	7866
426	5850	7850
427	5860	7832
428	5873	7817
429	5892	7810
430	5904	7794
431	5914	7776
432	5925	7759
433	5938	7744
434	5951	7730
435	5964	7715
436	5976	7699
437	5990	7685
438	6002	7671
439	6014	7655
440	6026	7639
441	6039	7624
442	6053	7611
443	6072	7604
444	6085	7589
445	6099	7576
446	6116	7566
447	6128	7550
448	6141	7536
449	6153	7520
450	6166	7506
451	6180	7493
452	6193	7478
453	6205	7462
454	6216	7446
455	6229	7431
456	6242	7417
457	6254	7401
458	6270	7391
459	6282	7375
460	6294	7359
461	6308	7346
462	6321	7332
463	6340	7324
464	6355	7312
465	6369	7298
466	6380	7282
467	6394	7268
468	6407	7254
469	6419	7238
470	6432	7224
471	6443	7208
